Time	latitude	longtitude	elevation			
11:10:32	42.9372	19.8452	10980
11:11:03	42.9913	19.7876	10980
11:11:33	43.0445	19.7309	10980
11:12:03	43.0962	19.6756	10980
11:12:33	43.1506	19.6174	10980
11:13:03	43.2047	19.5593	10980
11:13:34	43.2576	19.5024	10980
11:14:04	43.3122	19.4434	10980
11:14:35	43.3654	19.3858	10980
11:15:05	43.4191	19.3277	10980
11:15:38	43.4753	19.2667	10980
11:16:08	43.5285	19.2088	10980
11:16:38	43.5819	19.1506	10973
11:17:12	43.6399	19.0872	10980
11:17:42	43.6938	19.0279	10980
11:18:12	43.7477	18.9687	10980
11:18:42	43.7986	18.9126	10980
11:19:12	43.8524	18.8532	10973
11:19:42	43.9034	18.7968	10973
11:20:13	43.9570	18.7374	10973
11:20:43	44.0109	18.6774	10980
11:21:13	44.0617	18.6208	10980
11:21:46	44.1196	18.5560	10980
11:22:16	44.1726	18.4968	10980
11:22:46	44.2257	18.4371	10980
11:23:17	44.2770	18.3791	10980
11:23:47	44.3308	18.3183	10980
11:24:18	44.3851	18.2569	10980
11:24:48	44.4365	18.1987	10973
11:25:18	44.4904	18.1376	10980
11:25:49	44.5434	18.0773	10980
11:26:19	44.5977	18.0152	10980
11:26:49	44.6511	17.9543	10980
11:27:19	44.7048	17.8925	10973
11:27:50	44.7586	17.8305	10980
11:28:20	44.8122	17.7684	10980
11:28:50	44.8638	17.7086	10980
11:29:20	44.9179	17.6461	10980
11:29:46	44.9638	17.5931	10980
11:30:16	45.0165	17.5319	10980
11:30:47	45.0712	17.4681	10980
11:31:17	45.1228	17.4081	10980
11:31:47	45.1801	17.3498	10980
11:32:17	45.2341	17.2952	10980
11:32:48	45.2927	17.2358	10980
11:33:21	45.3525	17.1748	10973
11:33:51	45.4093	17.1168	10980
11:34:22	45.4678	17.0568	10980
11:34:53	45.5218	17.0011	10980
11:35:23	45.5765	16.9447	10980
11:35:53	45.6312	16.8883	10980
11:36:23	45.6874	16.8301	10980
11:36:55	45.7448	16.7702	10980
11:37:25	45.7994	16.7133	10973
11:37:55	45.8527	16.6577	10980
11:38:14	45.8873	16.6216	10980
11:38:44	45.9409	16.5655	10980
11:39:14	45.9978	16.5056	10980
11:39:44	46.0513	16.4493	10973
11:40:14	46.1051	16.3924	10980
11:40:37	46.1474	16.3479	10980
11:41:07	46.2018	16.2903	10980
11:41:37	46.2576	16.2310	10973
11:42:08	46.3129	16.1721	10980
11:42:47	46.3842	16.0958	10980
11:43:17	46.4385	16.0374	10980
11:43:47	46.4926	15.9791	10980
11:44:32	46.5740	15.8915	10973
11:45:03	46.6306	15.8303	10973
11:45:33	46.6850	15.7715	10980
11:46:03	46.7394	15.7124	10980
11:46:34	46.7923	15.6547	10980
11:47:04	46.8491	15.5927	10980
11:47:34	46.9040	15.5323	10980
11:48:04	46.9570	15.4741	10980
11:48:34	47.0124	15.4131	10980
11:49:04	47.0673	15.3524	10980
11:49:34	47.1224	15.2913	10980
11:49:58	47.1655	15.2435	10980
11:50:25	47.2133	15.1904	10973
11:50:55	47.2665	15.1311	10980
11:51:25	47.3227	15.0685	10980
11:52:09	47.4039	14.9841	10980
11:52:39	47.4599	14.9264	10980
11:52:59	47.4951	14.8898	10980
11:53:29	47.5525	14.8296	10980
11:53:59	47.6075	14.7715	10980
11:54:29	47.6604	14.7154	10973
11:54:59	47.7172	14.6548	10980
11:55:29	47.7730	14.5953	10980
11:55:59	47.8275	14.5372	10980
11:56:29	47.8821	14.4787	10973
11:56:59	47.9377	14.4190	10980
11:57:29	47.9930	14.3596	10980
11:57:59	48.0493	14.2988	10980
11:58:29	48.1033	14.2405	10973
11:58:46	48.1332	14.2081	10980
11:59:16	48.1905	14.1457	10980
11:59:32	48.2138	14.1204	10980
12:00:10	48.2805	14.0413	10980
12:00:40	48.3395	13.9695	10980
12:01:10	48.3926	13.9045	10980
12:01:41	48.4446	13.8409	10980
12:01:59	48.4780	13.7999	10980
12:02:25	48.5230	13.7446	10980
12:02:59	48.5812	13.6731	10980
12:03:21	48.6210	13.6238	10980
12:03:44	48.6614	13.5746	10980
12:04:13	48.7156	13.5129	10980
12:04:43	48.7698	13.4509	10980
12:05:12	48.8205	13.3929	10973
12:05:42	48.8766	13.3285	10980
12:06:21	48.9468	13.2476	10980
12:06:43	48.9867	13.2014	10980
12:07:12	49.0393	13.1405	10973
12:07:42	49.0916	13.0797	10980
12:08:22	49.1603	12.9999	10980
12:08:52	49.2165	12.9343	10980
12:09:22	49.2730	12.8681	10980
12:09:52	49.3266	12.8050	10980
12:10:22	49.3787	12.7436	10980
12:10:50	49.4278	12.6847	10980
12:11:20	49.4821	12.6182	10980
12:11:50	49.5351	12.5532	10980
12:12:20	49.5880	12.4881	10980
12:12:50	49.6396	12.4247	10980
12:13:16	49.6869	12.3665	10980
12:13:34	49.7216	12.3306	10980
12:14:13	49.7983	12.2692	10980
12:14:48	49.8658	12.2174	10973
12:15:18	49.9276	12.1698	10980
12:15:36	49.9630	12.1426	10980
12:16:20	50.0508	12.0748	10980
12:16:50	50.1110	12.0276	10980
12:17:20	50.1727	11.9796	10980
12:17:50	50.2263	11.9375	10980
12:18:21	50.2940	11.8842	10980
12:18:51	50.3544	11.8365	10980
12:19:21	50.4148	11.7889	10851
12:19:51	50.4728	11.7428	10668
12:20:21	50.5352	11.6932	10493
12:20:51	50.5949	11.6459	10325
12:21:21	50.6560	11.5975	10142
12:21:51	50.7150	11.5502	9982
12:22:21	50.7755	11.5015	9837
12:22:41	50.8131	11.4710	9746
12:23:00	50.8564	11.4360	9662
12:23:16	50.8892	11.4094	9594
12:23:33	50.9231	11.3819	9517
12:23:56	50.9709	11.3430	9403
12:24:37	51.0539	11.2759	9220
12:25:01	51.0998	11.2385	9114
12:25:20	51.1361	11.2088	9014
12:25:40	51.1783	11.1742	8847
12:25:58	51.2174	11.1422	8710
12:26:14	51.2482	11.1169	8580
12:26:58	51.3385	11.0425	8230
12:27:30	51.4047	10.9873	7910
12:27:59	51.4651	10.9374	7635
12:28:32	51.5290	10.8837	7277
12:28:57	51.5784	10.8401	7026
12:29:19	51.6192	10.8037	6789
12:30:00	51.6977	10.7339	6370
12:30:31	51.7550	10.6829	5982
12:31:14	51.8344	10.6119	5334
12:31:44	51.8861	10.5660	4938
12:32:14	51.9397	10.5182	4473
12:32:44	51.9926	10.4709	4023
12:33:25	52.0581	10.4121	3482
12:33:55	52.1053	10.3696	3216
12:34:25	52.1489	10.3298	3048
12:34:52	52.1854	10.2963	3048
12:35:14	52.2103	10.2734	2850
12:35:35	52.2376	10.2488	2667
12:36:05	52.2732	10.2165	2416
12:36:25	52.2976	10.1944	2225
12:36:44	52.3225	10.1716	2057
